no,profile_name,profile_link,id,profile_affiliations,profile_email,profile_cited_by_count,profile_interests,oldest_year,latest_year,num_publications,total_cites,h_index,i10_index,total_cites_since2019,h_index_since2019,i10_index_since2019
6270,Nick Crossley,https://scholar.google.com/citations?hl=en&user=CjjolDkAAAAJ,CjjolDkAAAAJ,"Professor of Sociology, University of Manchester, UK",Verified email at manchester.ac.uk,20008,"Social Network Analysis, Relational Sociology, Music, Embodiment",,,,,,,,,
6271,Chuan Shi,https://scholar.google.com/citations?hl=en&user=tUq_v90AAAAJ,tUq_v90AAAAJ,Beijing University of Posts and Telecommunications,Verified email at bupt.edu.cn,18912,"data mining, machine learning, social network analysis",,,,,,,,,
6272,Hao Ma,https://scholar.google.com/citations?hl=en&user=4spEfYgAAAAJ,4spEfYgAAAAJ,"Director, GenAI, Meta",Verified email at fb.com,18736,"Natural Language Processing, Machine Learning, Information Retrieval, Recommender Systems, Social Network Analysis",,,,,,,,,
6273,James Moody,https://scholar.google.com/citations?hl=en&user=sF0O-pIAAAAJ,sF0O-pIAAAAJ,"Professor, Duke University",Verified email at duke.edu,17803,"Sociology, Social Networks, Social Network Analysis, Quantitative Methods",,,,,,,,,
6274,Oscar Cordón,https://scholar.google.com/citations?hl=en&user=oUmv8xgAAAAJ,oUmv8xgAAAAJ,"Professor, IEEE-IFSA Fellow, Natl. Computer Science Award. DaSCI Research Institute & …",Verified email at decsai.ugr.es,17498,"Artificial Intelligence, Computational Intelligence, Social Network Analysis, Agent-based Modeling, Real-world Applications",,,,,,,,,
6275,Ray Sparrowe,https://scholar.google.com/citations?hl=en&user=LIQW6a4AAAAJ,LIQW6a4AAAAJ,Washington University in St. Louis (Retired),,16668,"Organizational Behavior, Leadership, Social Network Analysis",,,,,,,,,
6276,Evangelos Milios,https://scholar.google.com/citations?hl=en&user=ME8aQywAAAAJ,ME8aQywAAAAJ,"Professor of Computer Science, Dalhousie University",Verified email at cs.dal.ca,15980,"Text mining, social network analysis, text visualization, visual analytics",,,,,,,,,
6277,Qi Liu,https://scholar.google.com/citations?hl=en&user=5EoHAFwAAAAJ,5EoHAFwAAAAJ,University of Science and Technology of China,Verified email at ustc.edu.cn,15282,"Data Mining, Educational Big Data, Recommender Systems, Social Network Analysis",,,,,,,,,
6278,Scott D. Gest,https://scholar.google.com/citations?hl=en&user=NDUj_mUAAAAJ,NDUj_mUAAAAJ,"Professor of Education, School of Education & Human Development, University of Virginia",Verified email at virginia.edu,14018,"child & adolescent development, peer relations, teacher influences on classroom peer …, social network analysis",,,,,,,,,
6279,Griffin M Weber,https://scholar.google.com/citations?hl=en&user=42qdzb4AAAAJ,42qdzb4AAAAJ,"Associate Professor of Medicine and Biomedical Informatics, Harvard Medical School, Beth …",Verified email at hms.harvard.edu,13051,"Biomedical Informatics, Social Network Analysis, Big Data, Electronic Health Records",,,,,,,,,
6280,Han Woo PARK,https://scholar.google.com/citations?hl=en&user=D8r58tIAAAAJ,D8r58tIAAAAJ,"YeungNam University, South Korea",Verified email at ynu.ac.kr,12626,"Webometrics, Scientometrics, Triple Helix, Social Network Analysis, Big Data",,,,,,,,,
6281,Steven M Goodreau,https://scholar.google.com/citations?hl=en&user=s76aJ-sAAAAJ,s76aJ-sAAAAJ,"Professor of Anthropology, Adjunct Professor of Epidemiology, University of Washington",Verified email at uw.edu,11810,"Social network analysis, HIV epidemiology, sexual behavior",,,,,,,,,
6282,Maria Brockhaus,https://scholar.google.com/citations?hl=en&user=vdSmnp0AAAAJ,vdSmnp0AAAAJ,"Professor, International Forest Policy, University of Helsinki",Verified email at helsinki.fi,11707,"forest governance, REDD+, adaptation, policy analysis, social network analysis",,,,,,,,,
6283,Scott L. Thomas,https://scholar.google.com/citations?hl=en&user=o9OvvJEAAAAJ,o9OvvJEAAAAJ,"President, Sterling College, Craftsbury, Vermont USA",Verified email at sterlingcollege.edu,11603,"multilevel modeling, social network analysis, postsecondary finance, leadership",,,,,,,,,
6284,Filip Agneessens,https://scholar.google.com/citations?hl=en&user=xeT4nakAAAAJ,xeT4nakAAAAJ,"Associate Professor, University of Trento",Verified email at unitn.it,11529,"Social network analysis, Organisational behaviour, Research Methods, Teams, Intra-organisational",,,,,,,,,
6285,Ashish kumar singh,https://scholar.google.com/citations?hl=en&user=XbYiEbAAAAAJ,XbYiEbAAAAAJ,YMCA University of Science and Technology,,11503,"Social Network Analysis, Network Security",,,,,,,,,
6286,Christian Steglich,https://scholar.google.com/citations?hl=en&user=QZpVaIEAAAAJ,QZpVaIEAAAAJ,Universities Linköping & Groningen,Verified email at rug.nl,11400,"stochastic modelling, social network analysis, peer influence",,,,,,,,,
6287,Jennifer Neville,https://scholar.google.com/citations?hl=en&user=6CTPn44AAAAJ,6CTPn44AAAAJ,"Microsoft Research, Purdue University",Verified email at microsoft.com,10553,"Artificial Intelligence, Machine Learning, Statistical Relational Learning, Social Network Analysis",,,,,,,,,
6288,Peter Gloor,https://scholar.google.com/citations?hl=en&user=L4CxNO8AAAAJ,L4CxNO8AAAAJ,University of Cologne - CIIS,Verified email at mit.edu,10398,"Swarm Creativity, Collaborative Innovation Networks, Social Network Analysis, Predictive Analytics",,,,,,,,,
6289,Paolo Boldi,https://scholar.google.com/citations?hl=en&user=i6eM4oYAAAAJ,i6eM4oYAAAAJ,"Full Professor, Università degli Studi di Milano",Verified email at unimi.it,10273,"algorithms, social network analysis, data mining, graph theory",,,,,,,,,
6290,Ricardo D. Stanton-Salazar,https://scholar.google.com/citations?hl=en&user=revl3SoAAAAJ,revl3SoAAAAJ,"Sociologist of Education, Independent Scholar-Researcher",,10182,"social network analysis, social capital theory, Latinos-Education",,,,,,,,,
6291,Jürgen Pfeffer,https://scholar.google.com/citations?hl=en&user=MFpkkWAAAAAJ,MFpkkWAAAAAJ,Technical University of Munich / School of Social Sciences and Technology,Verified email at tum.de,10151,"Computational Social Science, Critical Data Studies, Social Network Analysis, Information Visualization, Algorithms",,,,,,,,,
6292,David Camacho,https://scholar.google.com/citations?hl=en&user=fpf6EDAAAAAJ,fpf6EDAAAAAJ,Universidad Politécnica de Madrid,Verified email at upm.es,9941,"Machine Learning, Social Network Analysis, Evolutionary Computation, Disinformation",,,,,,,,,
6293,Carlos Medicis Morel,https://scholar.google.com/citations?hl=en&user=SncksZoAAAAJ,SncksZoAAAAJ,Researcher at Oswaldo Cruz Foundation (Fiocruz),Verified email at cdts.fiocruz.br,9734,"trypanosome cruzi, chagas disease, social network analysis, health innovation, global virome project",,,,,,,,,
6294,Aftab Iqbal,https://scholar.google.com/citations?hl=en&user=l5j7M_MAAAAJ,l5j7M_MAAAAJ,Data Architect @ UBS,,9518,"Linked Data, Semantic Web, Information Retrieval and Integration, Health Care and Life Sciences, Social Network Analysis",,,,,,,,,
6295,Dean Lusher,https://scholar.google.com/citations?hl=en&user=-2dCSVoAAAAJ,-2dCSVoAAAAJ,"Professor of Innovation Studies, Swinburne University of Technology",Verified email at swin.edu.au,9207,"Social Network Analysis, Networked Innovation, Exponential Random Graph Models, Organisational",,,,,,,,,
6296,Derek L. Hansen,https://scholar.google.com/citations?hl=en&user=IpLkSvEAAAAJ,IpLkSvEAAAAJ,"Professor of Electrical & Computer Engineering, Brigham Young University",Verified email at byu.edu,8802,"Human Computer Interaction, Cybersecurity, Social Network Analysis, Social Computing, Serious Games",,,,,,,,,
